TableName,GDPPerCapita2017,FemaletoMaleLaborParticipationRatio2017,Bloomberg Chart,D3 Chart
Turkey,10591.4744,46.197192,"[10591.4744,46.197192],","{'gdp':10591.4744,'female_ratio':46.197192},"
Tanzania,1004.84112,91.0567178,"[1004.84112,91.0567178],","{'gdp':1004.84112,'female_ratio':91.0567178},"
Uganda,747.196907,89.6886454,"[747.196907,89.6886454],","{'gdp':747.196907,'female_ratio':89.6886454},"
Ukraine,2640.67568,74.1588269,"[2640.67568,74.1588269],","{'gdp':2640.67568,'female_ratio':74.1588269},"
Uruguay,17322.1474,75.4317143,"[17322.1474,75.4317143],","{'gdp':17322.1474,'female_ratio':75.4317143},"
United States,60062.2223,82.2425689,"[60062.2223,82.2425689],","{'gdp':60062.2223,'female_ratio':82.2425689},"
Uzbekistan,1826.56692,67.2918393,"[1826.56692,67.2918393],","{'gdp':1826.56692,'female_ratio':67.2918393},"
St. Vincent and the Grenadines,7212.96018,69.7516727,"[7212.96018,69.7516727],","{'gdp':7212.96018,'female_ratio':69.7516727},"
Virgin Islands (U.S.),35938.0244,92.4145986,"[35938.0244,92.4145986],","{'gdp':35938.0244,'female_ratio':92.4145986},"
Vietnam,2365.62167,88.1816865,"[2365.62167,88.1816865],","{'gdp':2365.62167,'female_ratio':88.1816865},"
Vanuatu,3082.35632,77.2977953,"[3082.35632,77.2977953],","{'gdp':3082.35632,'female_ratio':77.2977953},"
Samoa,4259.765,56.2571773,"[4259.765,56.2571773],","{'gdp':4259.765,'female_ratio':56.2571773},"
"Yemen, Rep.",960.528534,8.59248135,"[960.528534,8.59248135],","{'gdp':960.528534,'female_ratio':8.59248135},"
South Africa,6132.47984,78.5638508,"[6132.47984,78.5638508],","{'gdp':6132.47984,'female_ratio':78.5638508},"
Zambia,1534.86675,88.313809,"[1534.86675,88.313809],","{'gdp':1534.86675,'female_ratio':88.313809},"
Zimbabwe,1548.17006,87.4008016,"[1548.17006,87.4008016],","{'gdp':1548.17006,'female_ratio':87.4008016},"
